route_short_name,route_color,stop_a,stop_b
ŁA1,D46623,Zelów,Łask
ŁA1,D46623,Szczerców,Łask
ŁA2,8AA647,Wola Rakowa,Bedoń
ŁA3,47934A,Wola Rakowa,Brzeziny,
ŁA3,47934A,Andrespol,Brzeziny,
ŁA4,4D318F,Kazimierz,Pabianice
ŁA5,306439,Będzelin,Budziszewice
ŁA6,C03021,Dalików,Ozorków
ŁA6,C03021,Leźnica,Ozorków
ŁA7,E4CD3A,Rokiciny,Będków
ŁA7,E4CD3A,Rokiciny,Łaznów
ŁA8,5FA846,Rawa,Rogów
ŁA9,B35922,Działoszyn,Biała
ŁA9,B35922,Działoszyn,Rząśnia
ŁA10,F8EF44,Łaznów,Gałków
ŁA11,E1A234,Rydzynki,Będków
ŁA11,E1A234,Zofiówka,Będków
ŁA12,8A623C,Buków,Skrzynki
ŁA13,8D4A93,Zaosie,Tomaszów
ŁA13,8D4A93,Budziszewice,Tomaszów
ŁA14,3F72B9,Pabianice,Dłutów
