route_id,route_long_name,route_color,route_text_color,
46458_47001,Łódź Fabryczna - Skierniewice,87A954,000000,
46581_46409,Pabianice - Łódź Widzew,FFD500,000000,
46649_47001,Łask - Skierniewice,FFD500,000000,
46649_46409,Łask - Łódź Widzew,FFD500,000000,
46581_47605,Pabianice - Tomaszów Mazowiecki,FFD500,000000,
46409_19489,Łódź Widzew - Sieradz,FFD500,000000,
46706_32904,Łódź Kaliska - Łowicz Główny,366099,000000,
46581_47886,Pabianice - Radomsko,FFD500,000000,
46409_46581,Łódź Widzew - Pabianice,FFD500,000000,
46581_46805,Pabianice - Zgierz,FFD500,000000,
46409_46649,Łódź Widzew - Łask,FFD500,000000,
46805_46581,Zgierz - Pabianice,FFD500,000000,
47886_46581,Radomsko - Pabianice,FFD500,000000,
32904_46706,Łowicz Główny - Łódź Kaliska,366099,000000,
19489_46409,Sieradz - Łódź Widzew,FFD500,000000,
47605_46458,Tomaszów Mazowiecki - Łódź Fabryczna,FFD500,000000,
47605_46581,Tomaszów Mazowiecki - Pabianice,FFD500,000000,
46458_47605,Łódź Fabryczna - Tomaszów Mazowiecki,FFD500,000000,
46409_46805,Łódź Widzew - Zgierz,985f8E,000000,
32201_47001,Kutno - Skierniewice,33318F,000000,
19430_46409,Zduńska Wola - Łódź Widzew,FFD500,000000,
47001_32904,Skierniewice - Łowicz Główny,33318F,000000,
47258_46458,Koluszki - Łódź Fabryczna,87A954,000000,
46805_46409,Zgierz - Łódź Widzew,985f8E,000000,
32904_47001,Łowicz Główny - Skierniewice,FFD500,000000,
46458_32904,Łódź Fabryczna - Łowicz Główny,366099,000000,
47001_32201,Skierniewice - Kutno,33318F,000000,
46862_46409,Głowno - Łódź Widzew,366099,000000,
47548_47258,Wykno - Koluszki,FFD500,000000,
32201_32904,Kutno - Łowicz Główny,33318F,000000,
47258_47548,Koluszki - Wykno,FFD500,000000,
47001_46649,Skierniewice - Łask,FFD500,000000,
46409_19430,Łódź Widzew - Zduńska Wola,FFD500,000000,
46706_19489,Łódź Kaliska - Sieradz,FFD500,000000,
46458_19489,Łódź Fabryczna - Sieradz,FFD500,000000,
46805_46573,Zgierz - Łódź Lublinek,FFD500,000000,
19489_46706,Sieradz - Łódź Kaliska,FFD500,000000,
19489_46458,Sieradz - Łódź Fabryczna,FFD500,000000,
19489_32201,Sieradz - Kutno,FFD500,000000,
47001_46458,Skierniewice - Łódź Fabryczna,87A954,000000,
46458_48827,Łódź Fabryczna - Drzewica,EAAEAF,000000,
46458_48355,Łódź Fabryczna - Radom Główny,EAAEAF,000000,
47258_48827,Koluszki - Drzewica,EAAEAF,000000,
46458_48009,Łódź Fabryczna - Skarżysko-Kamienna,6C8586,000000,
46458_178685,Łódź Fabryczna - Spała,EAAEAF,000000,
46458_49700,Łódź Fabryczna - Opoczno,FFD500,000000,
46458_49502,Łódź Fabryczna - Końskie,FFD500,000000,
46458_63552,Łódź Fabryczna - Kielce Główne,6C8586,000000,
46458_62653,Łódź Fabryczna - Częstochowa,B35F2F,000000,
1110449_1110451,Rogów Osobowy Wąskotorowy - Jeżów,FFD500,000000,
46458_30601,Łódź Fabryczna - Poznań Główny,E69C37,000000,
1110451_1110449,Jeżów - Rogów Osobowy Wąskotorowy,FFD500,000000,
46458_38653,Łódź Fabryczna - Warszawa Wschodnia,87A954,000000,
46805_46649,Zgierz - Łask,FFD500,000000,
47886_47704,Radomsko - Piotrków Trybunalski,E2C939,000000,
46573_46805,Łódź Lublinek - Zgierz,FFD500,000000,
46847_46862,Stryków - Głowno,366099,000000,
46458_47258,Łódź Fabryczna - Koluszki,87A954,000000,
47605_47258,Tomaszów Mazowiecki - Koluszki,FFD500,000000,
46409_46847,Łódź Widzew - Stryków,FFD500,000000,
