route_id,route_short_name,route_long_name,route_color,route_text_color
WLKP-PKM1,PKM1,Poznańska Kolej Metropolitalna 1,4278BF,000000
WLKP-PKM1_BUS,PKM1 ZKA,Poznańska Kolej Metropolitalna 1 ZKA,4278BF,000000
WLKP-PKM2,PKM2,Poznańska Kolej Metropolitalna 2,D43A3B,000000
WLKP-PKM2_BUS,PKM2 ZKA,Poznańska Kolej Metropolitalna 2 ZKA,D43A3B,000000
WLKP-PKM3,PKM3,Poznańska Kolej Metropolitalna 3,5A8E27,000000
WLKP-PKM3_BUS,PKM3 ZKA,Poznańska Kolej Metropolitalna 3 ZKA,5A8E27,000000
WLKP-PKM4,PKM4,Poznańska Kolej Metropolitalna 4,6A2f7D,000000
WLKP-PKM4_BUS,PKM4 ZKA,Poznańska Kolej Metropolitalna 4 ZKA,6A2f7D,000000
WLKP-PKM5,PKM5,Poznańska Kolej Metropolitalna 5,E1B94B,000000
WLKP-PKM5_BUS,PKM5 ZKA,Poznańska Kolej Metropolitalna 5 ZKA,E1B94B,000000
MPOL-SKA1,SKA1,Szybka Kolej Aglomeracyjna 1,60B6F0,FFFFFF
MPOL-SKA1_BUS,SKA1 ZKA,Szybka Kolej Aglomeracyjna 1 ZKA,60B6F0,FFFFFF
MPOL-SKA2,SKA2,Szybka Kolej Aglomeracyjna 2,D4328A,FFFFFF
MPOL-SKA2_BUS,SKA2 ZKA,Szybka Kolej Aglomeracyjna 2 ZKA,D4328A,FFFFFF
MPOL-SKA3,SKA3,Szybka Kolej Aglomeracyjna 3,F2C43B,000000
MPOL-SKA3_BUS,SKA3 ZKA,Szybka Kolej Aglomeracyjna 3 ZKA,F2C43B,000000
MPOL-K2,K2,K2,A3897B,FFFFFF
MPOL-K2_BUS,K2 ZKA,K2 ZKA,A3897B,FFFFFF
MPOL-K22,K22,K22,95C11F,000000
MPOL-K22_BUS,K22 ZKA,K22 ZKA,95C11F,000000
MPOL-K3,K3,K3,E84E0E,FFFFFF
MPOL-K3_BUS,K3 ZKA,K3 ZKA,E84E0E,FFFFFF
MPOL-K32,K32,K32,69BFAC,000000
MPOL-K32_BUS,K32 ZKA,K32 ZKA,69BFAC,000000
MPOL-K33,K33,K33,951A80,FFFFFF
MPOL-K33_BUS,K33 ZKA,K33 ZKA,951A80,FFFFFF
MPOL-K5,K5,K5,F29EC5,FFFFFF
MPOL-K5_BUS,K5 ZKA,K5 ZKA,F29EC5,FFFFFF
MPOL-K51,K51,K51,673B10,FFFFFF
MPOL-K51_BUS,K51 ZKA,K51 ZKA,673B10,FFFFFF
MPOL-K52,K52,K52,BE1721,FFFFFF
MPOL-K52_BUS,K52 ZKA,K52 ZKA,BE1721,FFFFFF
MPOL-K63,K63,K63,4464AC,FFFFFF
MPOL-K63_BUS,K63 ZKA,K63 ZKA,4464AC,FFFFFF
MPOL-K7,K7,K7,008C36,FFFFFF
MPOL-K7_BUS,K7 ZKA,K7 ZKA,008C36,FFFFFF
MPOL-K71,K71,K71,28235B,FFFFFF
MPOL-K71_BUS,K71 ZKA,K71 ZKA,28235B,FFFFFF
MPOL-PKR,PKR,Podhalańska Kolej Regionalna,E50000,FFFFFF
MPOL-PKR_BUS,PKR ZKA,Podhalańska Kolej Regionalna ZKA,E50000,FFFFFF
ZACH-S1,S1,Szczecińska Kolej Metropolitalna 1,E50000,FFFFFF
ZACH-S1_BUS,S1 ZKA,Szczecińska Kolej Metropolitalna 1 ZKA,E50000,FFFFFF
ZACH-S2,S2,Szczecińska Kolej Metropolitalna 2,E50000,FFFFFF
ZACH-S2_BUS,S2 ZKA,Szczecińska Kolej Metropolitalna 2 ZKA,E50000,FFFFFF
ZACH-S3,S3,Szczecińska Kolej Metropolitalna 3,E50000,FFFFFF
ZACH-S3_BUS,S3 ZKA,Szczecińska Kolej Metropolitalna 3 ZKA,E50000,FFFFFF
PODK-PKA,PKA,Podkarpacka Kolej Aglomeracyjna,04998B,FFFFFF
PODK-PKA_BUS,PKA ZKA,Podkarpacka Kolej Aglomeracyjna ZKA,04998B,FFFFFF
